"","scientificName","family","eventDate","decimalLongitude","decimalLatitude","basisOfRecord","date_year","individualCount","identifiedBy","datasetID","datasetName","dataset_id","institutionCode","ownerInstitutionCode","collectionCode","catalogNumber","occurrenceStatus","samplingEffort"
"277","Morus bassanus","Sulidae","2005-01-20T12:33:00",-75.8262,34.9842,"HumanObservation",2005,2,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_618","present",NA
"278","Morus bassanus","Sulidae","2005-01-19T14:55:00",-75.7287,34.9102,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_451","present",NA
"279","Morus bassanus","Sulidae","2005-01-20T11:03:00",-75.742,35.0603,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_571","present",NA
"280","Morus bassanus","Sulidae","2005-01-26T10:10:00",-75.979,34.8925,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_951","present",NA
"281","Morus bassanus","Sulidae","2005-01-20T07:50:00",-76.055,34.9168,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_505","present",NA
"282","Larus argentatus","Laridae","2005-01-26T11:27:00",-75.9142,34.8967,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_973","present",NA
"283","Morus bassanus","Sulidae","2005-01-21T11:48:00",-75.6558,35.071,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_835","present",NA
"284","Larus argentatus","Laridae","2005-01-21T11:30:00",-75.6253,35.091,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_819","present",NA
"285","Larus philadelphia","Laridae","2005-01-25T15:40:00",-76.0162,34.9248,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_929","present",NA
"286","Oceanodroma leucorhoa","Hydrobatidae","2004-08-11T09:51:00",-74.7195,35.5825,"HumanObservation",2004,2,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_223","present",NA
"287","Gavia immer","Gaviidae","2005-01-20T15:15:00",-75.903,34.8332,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_659","present",NA
"288","Morus bassanus","Sulidae","2005-01-20T10:58:00",-75.7507,35.0553,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_568","present",NA
"289","Morus bassanus","Sulidae","2005-01-21T10:47:00",-75.6438,35.106,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_784","present",NA
"290","Oceanodroma leucorhoa","Hydrobatidae","2004-08-11T13:15:00",-74.8278,35.734,"HumanObservation",2004,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_265","present",NA
