"","scientificName","family","eventDate","decimalLongitude","decimalLatitude","basisOfRecord","date_year","individualCount","identifiedBy","datasetID","datasetName","dataset_id","institutionCode","ownerInstitutionCode","collectionCode","catalogNumber","occurrenceStatus","samplingEffort"
"115","Larus marinus","Laridae","2005-07-21T12:13:12Z",-69.54815674,43.19741631,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","5392",NA,NA
"116","Puffinus gravis","Procellariidae","2005-07-29T20:03:00Z",-70.04667664,43.21003532,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","12003",NA,NA
"117","Larus marinus","Laridae","2005-07-21T14:02:24Z",-69.4772644,43.09127426,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","6052",NA,NA
"118","Larus argentatus","Laridae","2005-07-21T11:59:24Z",-69.58708191,43.24125099,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","5308",NA,NA
"119","Larus argentatus","Laridae","2005-07-28T20:05:24Z",-69.45475388,43.04949951,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","10795",NA,NA
"120","Oceanites oceanicus","Hydrobatidae","2005-07-28T20:34:12Z",-70.07958221,43.1159153,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","10975",NA,NA
"121","Larus argentatus","Laridae","2005-07-23T17:04:48Z",-69.59508514,43.30133057,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","6478",NA,NA
"122","Oceanites oceanicus","Hydrobatidae","2005-07-21T11:46:12Z",-69.60458374,43.30075073,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","5226",NA,NA
"123","Larus argentatus","Laridae","2005-07-20T19:57:36Z",-69.47299576,43.09941483,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","4580",NA,NA
"124","Larus marinus","Laridae","2005-07-11T13:25:12Z",-69.55488205,43.24691582,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","176",NA,NA
