"","scientificName","family","eventDate","decimalLongitude","decimalLatitude","basisOfRecord","date_year","individualCount","identifiedBy","datasetID","datasetName","dataset_id","institutionCode","ownerInstitutionCode","collectionCode","catalogNumber","occurrenceStatus","samplingEffort"
"68","Larus atricilla","Laridae","10/2/2017",-52.9793,5.466193,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113770","present",NA
"69","Larus atricilla","Laridae","10/10/2008",-52.47122,5.13516,"HumanObservation",2008,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_1140","present",NA
"70","Larus atricilla","Laridae","9/29/2008",-52.42919,5.02671,"HumanObservation",2008,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_509","present",NA
"71","Larus atricilla","Laridae","10/5/2017",-53.47417,5.584175,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113793","present",NA
"72","Anous stolidus","Sternidae","9/26/2017",-51.88641,7.501787,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_111859","present",NA
"73","Larus atricilla","Laridae","10/2/2008",-52.07325,5.1645,"HumanObservation",2008,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_769","present",NA
"74","Fregata magnificens","Fregatidae","10/2/2008",-52.07213,5.1686,"HumanObservation",2008,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_744","present",NA
"75","Larus atricilla","Laridae","10/1/2017",-52.40561,5.002928,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113742","present",NA
"76","Larus atricilla","Laridae","9/30/2017",-52.34213,5.10933,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113761","present",NA
"77","Larus atricilla","Laridae","10/5/2017",-53.30074,5.573837,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113788","present",NA
"78","Larus atricilla","Laridae","9/29/2017",-52.43041,5.151713,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113763","present",NA
"79","Larus atricilla","Laridae","10/5/2017",-53.33329,5.578587,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113791","present",NA
